BookAbbrev	Chapter:Verse	Annotation	Source
Jb	8:1	The second conflict. This second disputer charged Job to be obstinate; who indeed was constant in a true settled judgement.	scan-pdf
Jb	8:10	Even thus Heretikes imagine catholikes to be ignorant, & therefore fit their mouths & books with things that are not denied, & yet inferre much falshood sophisticaly, applying one truth against another, being themselves ignorant how to reconcile difficulties.	scan-pdf
Jb	9:2	Job here granteth that which was truly said by his adversarie, and sheweth how he did wrong aptly true doctrine against him, and so stil defendeth his owne innocencie and just quarrel.	scan-pdf
Jb	9:11	Angels come to me, I shal not see him: if he depart, I shal not vaderstand.	scan-pdf
Jb	9:34	This is an affured true assertion, that God afflicteth both good & evil in this life.	scan-pdf
Jb	9:35	He crieth on mans part, and hope in God, doe wel consist together. So both presumption and desperation are avoided.	scan-pdf
Jb	10:3	Holie Job knowing it to be vnpossible that God calumniateth. As a man, inquireth what is the cause why his goodnes afflicteth the iust.	scan-pdf
Jb	10:20	Repentance is alwayes necessarie, but most especially at the houre of death.	scan-pdf
Jb	11:2	Sophar might haue applied the vice of much speaking to himselfe & his fellowes, alleadging manie things which proued not their opinion, wheras Iobs allegations proued directly that which he affirmed.	scan-pdf
Jb	11:6	Iobs owne conscience affirmed the contrarie, ch. 6, v. 3.	scan-pdf
Jb	11:15	He could not iustly confesse inquirie which he had not committed.	scan-pdf
Jb	12:4	God suffereth his simple true-meaning seruants to be scorned for the time, but afterward the wicked shal be forced to concede, that those whom they decided are worthily in honour before God. S. ep. 5, v. 3.	scan-pdf
Jb	12:17	Craftie plotters of deuises at last by Gods iust punishment commit so great absurdities, that the meanest may see their follie.	scan-pdf
Jb	13:4	Iobs state of sinne or innocencie was best knowen to God,next to his owne conscience,not at all to his aduersaries,that professed to iudge of sinnes,that pre fissed to iudge thereof.	scan-pdf
Jb	13:19	He denieth that he is guiltie in conscience,but defereth to know of God;if he haue anie hid sinnes which himselfe knoweth not.	scan-pdf
Jb	14:1	Al children taking their substance from the mother, and hauing only a temporal life continually tending to death, can not but be subiect to manie miseries: For time it-selfe though it may seeme long, is a limited thing, and is very short, yea hath no proportion in respect of eternitie,which is infinite: yet God hath care to bring this weake creature to life-eternal.	scan-pdf
Jb	14:21	The prementres after death are not afflicted with the tare of their children as they be in this life.	scan-pdf
Jb	15:1	Eliphaz not able to answere Iobs solide reasons,raileth against him, as he was rious to God, or taught others to cast away feare.	scan-pdf
Jb	15:12	It is a very rare priuiledge to be without spot.	scan-pdf
Jb	15:14	But spot of veniall sinnes may be in a iust man.	scan-pdf
Jb	15:20	Al these miseries are incident to the wicked,but are falsly applied to holy Iob, who indeed was iust.	scan-pdf
Jb	16:2	True and freindlie comforters ought to heare the afflicted with patience, & not vnmercifully charge him with crimes, which they neither know, nor his conscience is guiltie of.	scan-pdf
Jb	16:10	A great affliction, when one ful of paine & distresse is also forced to defend his owne innocencie against ca. lumniators.	scan-pdf
Jb	16:18	As the aduersaries stil obiect great iniquitie to him, so he yealdeth them the fame true answere.	scan-pdf
Jb	17:1	Not hauing committed such sinnes as he was charged withal,in this double bitternes of corporal paine & calumniation,his eye was stil vpon God,expecting to be deliuered.	scan-pdf
Jb	17:13	This text sheweth euidently that there was a place of rest called hel.	scan-pdf
Jb	18:1	Baldad perceiuing Iob to speake confidently as the common doctrine of manie, opposeth himselfe neuerthe les against him and al that thinke as he speaketh as to manie in the plural number, wil ye speake, & of himselfe & his felowes: are we reputed. &c. So holie Iob a figure of the Church defended the cause, his aduersaries a figure of heretikes speaking some truth mixed false things therwith. S.Greg.li. 14. c.t.	scan-pdf
Jb	19:4	Blessed Iob faith S. Gregorie li. 14. c. 16. 17. looking sincerely on his owne life, saw that his affliction was greater then his finnes deserued, & in that respect was not equall: yet it was iust, for God being iust giueth a iust reward as crowned of iustice as S. Paul speaketh of himselfe (2. Tim. 4.)	scan-pdf
Jb	19:13	Al refused made holie Iob in his affliction, euen those whom he had loued most who therfore ought most to haue loued him againe.	scan-pdf
Jb	19:25	An expresse profession of his faith of the Resurrection.	scan-pdf
Jb	19:25	We shal rise againe, not as one tree riseth in place of an other, but the selfe same persons, changed in qualities, not in substance.	scan-pdf
Jb	20:5	Al mans life is short & as a moment in comparison of eternitie; but it is not alwayes true that the wicked are shortly punished in re spect of this life, as this disputer applieth it to proue Iob to be impious.	scan-pdf
Jb	20:18	Therefore Iob answereth in the next chap. v. 13. That ordinarily the wicked lead their dayes in their whole life in wealth & (then) in a mon‡ goe downe to hel. So the rest of these mens assertions are for most part true in some sense, but il applied.	scan-pdf
Jb	21:4	Though he disputed with three men, yet it was concerning diuine things not humane, but of Gods prouidence, and iustice, of the resurrection, of eternall life, and punishment.	scan-pdf
Jb	21:13	The fame word is in Hebrew, Greek, & Latin, for hel, as in the 7. and 17. chap. & other places, which sheweth that besides hel of the damned the resting place also of holie fathers in the old Testament was called by the general name of hel;	scan-pdf
Jb	21:14	Who sayd to God: Depart from vs.	scan-pdf
Jb	22:3	Indeed when a iust man hath donne his duties, he is vnprofitable to God: but he is profitable to himselfe, which greatly pleaseth God, who desireth mans good, & it redoundeth to Gods glorie that he hath such seruants.	scan-pdf
