BookAbbrev	Chapter:Verse	Annotation	Source
Jdt	7:4	Gods seruants first of al before they fight, workes of pennace, came of their cause to God, then take weapons in hand, & expect opportunitie to encounter with the enimies.	scan-pdf
Jdt	7:13	A common practise of people in distresse to impute error to their Superiours.	scan-pdf
Jdt	8:5	In three special obseruances this holie widow led a most religious life: In much priuate prayers.	scan-pdf
Jdt	8:6	In wearing haire-cloth and in much fasting: as it were a perpetual lent, al daies but Sabbaths & feasts excepted.	scan-pdf
Jdt	8:25	S. Paul 1.Cor.10.v.10. alleadging that happened to the people of Israel in the desert, addeth this word destroyer, which is only in this place, and not Num. 11. nor 14. nor els in the old Testament: which is an other argument that this booke is Canonical.	scan-pdf
Jdt	8:29	Some thinke Abra was a proper name, but whether it was or no, it signifieth an handmaide of more honour, as we speake: A maide of honour.	scan-pdf
Jdt	9:1	Of such priuate oratories, as this our Sauiour seemeth to speake. Mat. 6. saying: Enter into thy chamber &c.	scan-pdf
Jdt	9:4	The zele of Simeon and Leui was commendable, but for diuers euil circumstances the fact was reproued by Iacob. Gen. 34 & 49.	scan-pdf
Jdt	9:12	She prayed, that Holofernes should be moued with her beautie & sweete speach: which he might be and not sinne, but he by his free wil sinning, God turned to the good of other.	scan-pdf
Jdt	10:4	God by this testified her holie intention in adorning herselfe. Not only certaine meates were forbidden by the Law, but in manner al the meates of the Gentils were vnlawful being offered to idols, for which cause Daniel and the three children would not eate of the Kings meates in Babylon.	scan-pdf
Jdt	10:4	To whom also our Lord gave beautie: because this trimming did not depend of sensualitie, but of vertue: and therfore our Lord amplified this beautie on her, that she might appeare to al mens eies of incomparable comlines.	scan-pdf
Jdt	10:19	S. Fulgentius probably iudgeth that Iudith was now about fourtie yeares old. Epist. 2. cap. 6.	scan-pdf
Jdt	11:4	Al that Iudith sayth is true in her sense as she meant it, but not in the vnderstanding of Holofernes and his souldiers, yet was no lesse lawful then that Iosue did in deceiuing the citizens of Hay. Iosue 8. S. Aug. q. 10. in Iosue.	scan-pdf
Jdt	12:2	See chap. 10. v. 5.	scan-pdf
Jdt	12:9	This puritie consisted in abstaining from meates forbid by the Law, or offered to Idols.	scan-pdf
Jdt	13:4	The fasting of one woman ouerthrew an innumerable host of drunkards. S. Amb. li. de ieiunio cap. Elia. c. 9.	scan-pdf
Jdt	13:8	If Bethulia had been taken, Ierusalem also had been in extreme danger: for which cause God had made more special promise to Dauid and others. Isaia 37. 38. &c.	scan-pdf
Jdt	14:4	Achior an Ammonite being truly converted and beleeuing in God, was admitted into the Church, notwithstanding that Ammonites and Moabites were excluded by the law Deut. 23, 3. which is therfore ment only of those persisting in their error.	scan-pdf
Jdt	15:10	Judith was a special figure of the B. Virgin Marie, to whom these praises pertayne in more eminent force, then to anie other creature.	scan-pdf
Jdt	16:3	S. Ephrem Ser. dez. ad Adventu, citeth this place as holy scripture, so testifying this Book to be canonical.	scan-pdf
Jdt	16:8	Such giants as were before Noe his flood, Gen. 5. Nor such as were after, Num. 13, Deut. 3.	scan-pdf
Jdt	16:17	Everlasting torments of fire & wormes perteyne to the damned bodies. S. Aug. li. 21. c. 4 &c. and greater paines to the damned soules, especially the losse of Gods vision.	scan-pdf
Jdt	16:21	Living in all 105 yeares, she widow about sixtie nine: for when she flew Holofernes she was about fourtie yeares old. c. 10, v. 18. & her husband was then dead three yeares & a halfe before.	scan-pdf
Est	4:3	The first & best remedie in distresse is to doe workes of penance for sinnes committed. 1. Cor. 11. v. 31.	scan-pdf
Est	4:14	Great confidence in Gods help when mans help fayleth: & indeed this meanes by mouing the Kings hart to grant Esthers petition was Gods special worke.	scan-pdf
Est	5:7	This prudence in delaying to propose her petition, increased the Kings desire to know it, moued him to promise more assuredly, & so bound him the more to accomplish it.	scan-pdf
Est	6:1	Gods eye which neuer sleepeth, saw what Aman intended: and for execution of his owne diuine iustice, vsed this meanes, by subtracting sleepe that time from the King, & inspiring his mind to heare the histories read, and to reward good seruice.	scan-pdf
Est	6:6	Ambitious men are most blind in conceite of their owne deserts, and fortunes.	scan-pdf
Est	6:13	Either they had read Gods promise to the Iewes Gen. 13. 15. &c. or conjectured this by humane prudence.	scan-pdf
Est	7:3	After three dayes fast of al the Iewes with prayers and other works of penance, Esther asked & obtained the fasting of the whole people, more precious to her then halfe of the Kingdom.	scan-pdf
Est	7:6	Horrour of a guiltie conscience is commonly the first torment of a sinner.	scan-pdf
Est	7:9	What little trust in false freindship, when bad men once fall into disgrace.	scan-pdf
Est	8:1	Such honour is due to Kings, yea though they be infidels, because they have terrestrial auctoritie from God.	scan-pdf
Est	10:4	S. Ierome here adverteth the reader that he found al hitherto in the Hebrew.	scan-pdf
Est	11:2	Mardocheus had this dreame before Amans advancement, of his owne and the peoples danger. Mardocheus was a good dragon, and Aman a bad one. Esther by her fountaine of teares and humble supplication, quenched a great flame of Gentils against the Iewes.	scan-pdf
Est	12:6	Here it appeareth that Aman was a favourer of traitours or perhaps of the fame conspiracie.	scan-pdf
Est	13:1	Great hurt to a King, that is ruled much by one counseller. Salomon teacheth, that where are manie counsellers, cogitations are confirmed. Prov.15. v. 22.	scan-pdf
Est	14:9	Idols are nothing in the world. 1. Cor.8. but bare imaginations of men. The Church vseth this prayer in the offertorie the 22. sunday after Pentecost; as a parcel of holy Scripture.	scan-pdf
Is	1:1	Not Amos the third of the lesser prophets, for this name is written in other letters in Hebrew: but one of the royal bloud, as S. Ierom testifieth.	scan-pdf
Is	1:1	The first part. The Kingdom of Iuda shal be captiue in Babylon, for their ingratitude towards Gods, and other sinnes.	scan-pdf
Is	1:4	Prince, Priest, and people are al sicke of ingratitude against God, & other iniquities.	scan-pdf
Is	1:7	Ierusalem defaced and destroyed.	scan-pdf
Is	1:9	God continually preferueth some holie seede, that his Church neuer faileth.	scan-pdf
Is	1:17	Much wickednes reigned in Ierusalem before their captiuitie in Babylon; but much more at Christs passion, when they persecuted him euen to the Crosse: and his disciples, and al Christians, til their citie was taken by the Romans, and the whole nation dispersed.	scan-pdf
Is	1:26	The Rabbins vnderstand those Iudges and Priests that gouerned the people after their deliuerie from captiuitie: but S. Ierom expoundeth this and the like places of the Apostles, and their successours.	scan-pdf
Is	2:1	It is not only certaine, but also euident that the prophet speaketh here, and in innumerable other places, of the Church of Christ, which is upon a mountaine, Matt. 5, vnto which al nations are gathered, and al the time of the new Testament is called the last, Io. 1. Ian. 2. because no time shal folow after this, but al eternitie.	scan-pdf
Is	2:5	The Iewes were reiected after Christs death: before which they were stil conserued: though often seuerely punished. And so now the Church of Christ shal neuer be reiected.	scan-pdf
Is	2:6	It is most absurde, and contrarie to this and other Scriptures, that Protestants feyne of great idolatrie in the Church.	scan-pdf
Is	2:21	This was fulfilled first in the captivity of Babylon, and more notoriously after Christs passion, in the destruction of Jerusalem, and dispersion of the Iewes, euen to this day: and yet forward, til nere the end of this world.	scan-pdf
Is	4:1	After the reduction of heathnish or heretical people to catholike religion, there wil be great want of spiritual pastours. Not al the Iewes that escaped temporal death in the destruction of Ierusalem, but those only shal be eternally saued, that belieuing shal be baptized and liue wel.	scan-pdf
Is	5:1	Ifaie of the tribe of Iuda here prophecieth the doleful song which Christ vttered weeping ouer Ierusalem, foreseeing & foretelling their destruction.	scan-pdf
Is	5:5	Al this sheweth that God only subtracting his protection, no man nor people is able to stand; of whose ruine God is not the authour, but only permitteth that they fal into sinnes, and so into their miseries.	scan-pdf
Is	5:13	An admonition to celebrate festiual dayes with holy religious exercises, and not to folow drunkennes nor other wicked or vayne things.	scan-pdf
Is	5:26	Grievous sinnes must be grievously punished. Such as was the sinne of the Iewes persecuting Christ.	scan-pdf
Is	6:1	Neither Ifaie, nor Moyses, nor anie other mortal man did euer see God in himselfe, but only shadowed in some manner.	scan-pdf
Is	6:5	Ifaie was not only an Evangelicall but also an Apostolicall Prophet, with whom God here treateth & proceedeth, as with an Apostle, saying: Whom shal I send.	scan-pdf
Is	7:1	Before this the Kings of Syria and of Israel had taken King Achaz in battell, and caried away great spoyles, 2. Paral. 28. Mystically this signified that heretikes of diuers sectes conspire together, to impugne the Catholike Church. Which they doe much afflict, and terrifie, but can neuer ouerthrow. S. Ierom.	scan-pdf
Is	7:12	Though Achaz was very wicked and committed idolatrie, yet he belieued in God Almightie, knowing that he ought not to tempt him. Vpon occasion of Gods mercie prouised without mans desert, God inspired the Prophet also to forshew the greater mysterie of Christs Incarnation, his conception & birth of a Virgin, for the redemption of al mankind.	scan-pdf
Is	8:1	The mystery here prophesied is of so great importance, as would require a very great book for full explication thereof.	scan-pdf
Is	8:19	Whether they seek to God in their extreme distress, not sincerely, but coasted, or seek worldly help, they shall not escape misery.	scan-pdf
Is	9:1	S. Matthew expoundeth this prophecy of Christ, first preaching in Galilee. Where his disciples believed in him & followed him. But after his passion few Jews believed in him, in comparison of the Gentiles.	scan-pdf
Is	9:6	He that is great, yea omnipotent God, is borne a little one in this world, and without violence conquereth & ruleth all the world.	scan-pdf
Is	9:12	God punishing sinners, and they not repenting, his just fury still increaseth: punishing eternally all those that never repent.	scan-pdf
