BookAbbrev	Chapter:Verse	Annotation	Source
1Sam	2:5	The Church of Gentiles. S. Aug. li. 17. c. 4. ciuit.	scan-pdf
1Sam	2:10	Neither Dauid nor Salomon, much lesse anie other King, possessed or iudged the ends of the earth: but Christs inheritance reacheth to the ends of the earth. Psal. 2. v. 18.	scan-pdf
1Sam	2:25	Sinnes directly against God, and that hinder his seruice, are more hardly remitted: but none at al are irremissible before death, because during life euerie one may truly repent, if he wil: and to al true penitents God promisseth remission of sinnes. Ezech. 33.	scan-pdf
1Sam	2:31	This was fulfilled as in the figure in Samuel, not wholly, for priesthood stil remained in the line of Aaron, as appeareth in Achias, Abiathar, and Sadoc. ch. 14. 22. &c. 3. Reg. 8. but perfectly in Christ. S. Beda. qq. in 1. Reg. c. 2.	scan-pdf
1Sam	3:1	Rare things are called precious, and so the guift of prophecie is here termed, which was then granted to few.	scan-pdf
1Sam	4:3	Their confidence of helpe from God, by presence of the arke, was good and commendable, but their sinnes deserued to be punished.	scan-pdf
1Sam	4:18	This zeale of religion in Heli towards the arke, is a great signe that he erred not in faith, but that he did not sufficiently correct his sonnes.	scan-pdf
1Sam	5:3	So soone as Christs Ghospel or Testament came among the Gentiles, al false Gods and idolatrie fel downe. S. Beda. q. in 1. Reg. c. 5.	scan-pdf
1Sam	5:7	The arke being a holie thing, as Relikes are, was terrible to their false God, the diuel; so the Relikes of S. Babilas ouerthrew the false God Apollo, as S. Chrysostom testifieth at large, li. cont. Gentiles, &c. 5.	scan-pdf
1Sam	6:6	Obstinate sinners doe harden their owne harts, not God, but by suffering them so to doe. See Annot. Exod. 7.	scan-pdf
1Sam	8:7	For so much as God had chosen Israel a peculiar people to himselfe, and hitherto ruled the same by his Priests established among them, and by Iudges extraordinarily raised vp and sent by him, to deliuer them in their distresses, their demand now to haue a King, who (after the manner of other nations) should be their Lord, is interpreted, as in effect to reiect God: in that they disliked, and sought to change his forme of gouernment. And therfore this request of the people iustly displeased both Samuel and God himselfe.	scan-pdf
1Sam	8:11	Samuel here by Gods appointment, to diswade the people from their desire of a King, reciteth such things, as Kings abusing their power doe oftentimes practise, by reason of their high dignitie, but vniustly and vnlawfully; according to the doctrine of ancient Fathers. S. Cyprian calleth the exactions of Kings here recited, grieuous iniuries. S. Hierome, dura imperia and seruitutem. S. Gregorie proueth the same by contrarie examples. Neuertheles Kings haue great prerogatiues, besides and aboue, but neuer contrarie to the law. Furthermore in case Kings or other Princes commit excesses, and oppresse their subiects, yet are they not by and by to be deposed by the people, but must be tolerated with patience, til God by his souerereigne authoritie, left in his Church, dispose of them.	scan-pdf
